P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12.1,P12.2,P12.3,P12.4,P12.5,P12.6,P12.7,P12.8,P12.9,P13,P14,P15,P16,P17.1,P17.2,P17.3,P17.4,P17.5,P17.6,P18,P19,P20.1,P20.2,P20.3,P20.4,P20.5,P20.6,P20.7,P21.1,P21.2,P21.3,P22.1,P22.2,P22.3,P23,P24.1,P24.2,P24.3,P24.4,P24.5,P24.6,P12.I,P17.I,P20.I,P22.I,P24.I
Hombre,Española,Entre 25 y 34 años,Título Universitario,Altabix,Trabajador por cuenta ajena,Sanidad,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,NS-NC,Ninguna,Poca,Moderada o mucha,Moderada o mucha,Ninguna,NS-NC,Igual,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,No,Sí,No,Sí,2,1,4,De acuerdo,De acuerdo,De acuerdo,Sí,No,Sí,Sí,Sí,Sí,Sí,8,5,5,3,4
Mujer,Española,Entre 55 y 64 años,Título Universitario,Ciutat Vella,Jubilado/Pensionista,Sanidad,31 o más años cotizados,En general responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,Sí,Sí,No,Sí,3,1,4,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,16,5,5,2,5
Hombre,Extranjera,Entre 35 y 44 años,Título Universitario,Ciutat Vella,Trabajador por cuenta ajena,Construcción,Entre 10 y 20 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Ninguna,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,A nadie (a largo plazo),Sí,No,No,No,No,No,Otro,Sí,No,No,Sí,Sí,Sí,No,Sí,2,2,0,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,13,1,4,1,5
Hombre,Española,Entre 35 y 44 años,Título Universitario,Carrús,Trabajador por cuenta ajena,Construcción,Entre 10 y 20 años cotizados,En general responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Más,Ha aumentado,Sí,Otro,No,No,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,2,2,0,De acuerdo,De acuerdo,De acuerdo,Quizás,Sí,Sí,Sí,Sí,Sí,Sí,15,4,2,3,5
Hombre,Española,Entre 35 y 44 años,Sin estudios,Carrús,En paro,Construcción,Entre 10 y 20 años cotizados,Muy responsables,Muy responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Más,Ha aumentado,No,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,3,5,9,De acuerdo,De acuerdo,De acuerdo,No,Sí,Sí,Sí,Sí,Sí,Sí,14,6,7,3,5
Mujer,Extranjera,Entre 45 y 54 años,Sin estudios,Carrús,Trabajador por cuenta ajena,Servicio doméstico,Nunca he cotizado,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,NS-NC,Ninguna,Ninguna,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,NS-NC,Sí,Sí,Sí,No,No,Sí,Nada,No,No,No,No,No,No,No,No,5,0,,De acuerdo,De acuerdo,En desacuerdo,No,Sí,No,No,No,Sí,No,8,4,0,2,2
Mujer,Española,Entre 45 y 54 años,Formación Profesional,Carrús,Trabajador por cuenta ajena,Hostelería-Turismo,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,NS-NC,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Nada,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,5,2,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,Sí,15,5,7,2,4
Hombre,Española,Entre 55 y 64 años,Educación Primaria,Carrús,En paro,Hostelería-Turismo,Entre 21 y 30 años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,No,Sí,Sí,No,Sí,Lo que diga la ley,No,Sí,Sí,Sí,Sí,Sí,No,Sí,7,7,8,En desacuerdo,De acuerdo,De acuerdo,Sí,No,Sí,Sí,Sí,Sí,Sí,15,4,6,2,4
Hombre,Española,Entre 55 y 64 años,Título Universitario,El Pla,Trabajador por cuenta ajena,Sanidad,31 o más años cotizados,Poco responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Moderada o mucha,Ninguna,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Menos,Ha disminuido,Sí,Otro,Sí,Sí,Sí,Sí,No,Sí,Lo que diga la ley,Sí,No,No,Sí,Sí,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Quizás,Sí,Sí,Sí,Sí,Sí,No,11,5,4,3,5
Mujer,Española,De 65 en adelante,Educación Primaria,El Pla,Jubilado/Pensionista,Calzado,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Más,Ha aumentado,No,Empresario,Sí,Sí,Sí,No,No,Sí,Otro,Sí,No,Sí,Sí,Sí,Sí,No,Sí,0,6,5,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,Sí,11,4,5,3,4
Mujer,Española,De 65 en adelante,Educación Primaria,Altabix,Ama/o de casa,Calzado,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,NS-NC,NS-NC,Ninguna,NS-NC,Moderada o mucha,Moderada o mucha,Ninguna,Poca,NS-NC,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,6,6,3,3,5
Hombre,Española,Entre 18 y 24 años,Bachillerato,El Pla,Estudiante,Calzado,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,NS-NC,Poca,Ninguna,Moderada o mucha,Poca,Poca,Poca,Moderada o mucha,NS-NC,Ha disminuido,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Nada,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,4,6,0,De acuerdo,De acuerdo,De acuerdo,Sí,No,Sí,Sí,Sí,Sí,Sí,10,6,7,3,4
Hombre,Española,Entre 55 y 64 años,Educación Primaria,El Pla,Trabajador autónomo,Resto sector servicios,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,0,0,7,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,14,4,6,3,5
Mujer,Española,De 65 en adelante,Educación Primaria,Carrús,Jubilado/Pensionista,Calzado,Entre 10 y 20 años cotizados,Muy poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,Poca,Poca,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,Sí,No,Ns/Nc,Sí,No,Sí,Sí,Sí,Sí,No,Sí,5,6,8,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,Sí,12,4,5,3,4
Mujer,Española,De 65 en adelante,Educación Primaria,El Pla,Jubilado/Pensionista,Hostelería-Turismo,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Poca,Ninguna,Ninguna,Igual,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,8,9,9,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,Sí,Sí,10,4,2,3,3
Mujer,Española,Entre 55 y 64 años,Educación Primaria,Altabix,En paro,Resto sector servicios,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Ni ha disminuido ni ha aumentado,No,NS-NC,Sí,No,Sí,No,No,Sí,Nada,Sí,No,No,Sí,No,Sí,No,Sí,0,1,0,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,No,No,Sí,Sí,18,3,3,3,1
Mujer,Española,Entre 45 y 54 años,Educación secundaria,Carrús,Ama/o de casa,Servicio doméstico,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Ni ha disminuido ni ha aumentado,Sí,NS-NC,Sí,Sí,Sí,No,No,Sí,Ns/Nc,No,No,No,Sí,No,Sí,No,Sí,0,7,7,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,No,No,16,4,3,2,4
Mujer,Española,Entre 18 y 24 años,Título Universitario,Altabix,Estudiante,Estudiando,Nunca he cotizado,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,No,No,No,Sí,No,Sí,No,Sí,6,7,5,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,17,4,3,2,5
Mujer,Española,Entre 45 y 54 años,Bachillerato,Ciutat Vella,En paro,Resto sector servicios,Menos de 10 años cotizados,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Igual,Ha aumentado,NS-NC,Empresario,Sí,No,No,No,No,Sí,Nada,Sí,No,No,Sí,Sí,Sí,No,Sí,0,0,0,En desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,Sí,No,Sí,No,No,4,2,4,0,3
Hombre,Española,Entre 45 y 54 años,Formación Profesional,Carrús,Trabajador autónomo,Resto sector servicios,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,NS-NC,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,Sí,Sí,Sí,Ns/Nc,Sí,No,No,No,No,Sí,No,No,3,0,2,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,No,13,6,1,3,4
Hombre,Española,Entre 35 y 44 años,Educación Primaria,Altabix,Trabajador autónomo,Servicio doméstico,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Poca,Moderada o mucha,Moderada o mucha,Ninguna,Poca,Moderada o mucha,Poca,Poca,Poca,Igual,Ha disminuido,NS-NC,Empresario,No,Sí,Sí,No,No,Sí,Otro,Sí,No,No,Sí,No,Sí,No,No,0,9,10,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,11,3,2,3,5
Hombre,Española,Entre 55 y 64 años,Educación Primaria,Carrús,Jubilado/Pensionista,Calzado,31 o más años cotizados,En general responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Ns/Nc,Sí,No,No,No,No,Sí,No,Sí,3,4,8,De acuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,4,4,2,2,5
Hombre,Española,Entre 35 y 44 años,Educación Primaria,Altabix,Trabajador por cuenta ajena,Resto sector servicios,Entre 10 y 20 años cotizados,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Más,Ha disminuido,No,Empresario,Sí,Sí,Sí,No,No,Sí,Nunca trabajaria en negro,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,0,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,4,7,2,5
Mujer,Española,Entre 18 y 24 años,Educación secundaria,Carrús,Trabajador por cuenta ajena,Administración pública,Menos de 10 años cotizados,En general responsables,En general responsables,Muy poco frecuentes o irrelevante: menos de 1 persona de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Poca,Poca,NS-NC,NS-NC,Menos,Ni ha disminuido ni ha aumentado,No,Trabajador,Sí,No,No,Sí,No,No,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,2,2,3,3,5
Hombre,Española,Entre 45 y 54 años,Educación secundaria,Altabix,En paro,Calzado,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,NS-NC,NS-NC,NS-NC,Poca,Poca,Poca,Ninguna,NS-NC,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Nada,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,6,2,7,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,No,5,6,7,2,4
Mujer,Española,De 65 en adelante,Sin estudios,El Pla,Jubilado/Pensionista,Amo/a de casa,Nunca he cotizado,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Moderada o mucha,Poca,Poca,Poca,Igual,Ha disminuido,NS-NC,Empresario,Sí,Sí,Sí,No,No,Sí,Ns/Nc,Sí,Sí,Sí,Sí,No,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,13,4,5,3,5
Mujer,Española,De 65 en adelante,Bachillerato,Altabix,Jubilado/Pensionista,Sanidad,31 o más años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Ni ha disminuido ni ha aumentado,No,Empresario,Sí,Sí,Sí,No,Sí,Sí,Ns/Nc,No,No,No,No,No,Sí,No,Sí,1,1,1,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,0,5,2,2,5
Mujer,Española,Entre 55 y 64 años,Formación Profesional,Altabix,Trabajador autónomo,Sanidad,Entre 21 y 30 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Nada,Sí,No,No,No,No,No,No,No,0,0,1,De acuerdo,En desacuerdo,De acuerdo,Quizás,No,No,No,No,Sí,No,10,4,0,2,1
Mujer,Española,Entre 55 y 64 años,Formación Profesional,Ciutat Vella,Ama/o de casa,Servicio doméstico,Nunca he cotizado,Muy poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Ninguna,NS-NC,Ninguna,Moderada o mucha,NS-NC,NS-NC,Ninguna,NS-NC,Igual,Ha aumentado,Sí,Trabajador,No,Sí,Sí,No,No,Sí,Ns/Nc,NS-NC,No,No,No,No,No,No,No,0,0,0,En desacuerdo,De acuerdo,De acuerdo,No,No,No,Sí,Sí,No,Sí,4,3,0,2,2
Mujer,Española,Entre 35 y 44 años,Formación Profesional,Carrús,Trabajador autónomo,Resto sector servicios,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy poco frecuentes o irrelevante: menos de 1 persona de cada 4,Moderada o mucha,Poca,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Poca,Poca,Poca,Igual,Ha disminuido,Sí,Empresario,Sí,No,Sí,Sí,Sí,Sí,Nunca trabajaria en negro,No,Sí,Sí,Sí,No,No,No,Sí,0,0,0,En desacuerdo,De acuerdo,En desacuerdo,Quizás,Sí,Sí,Sí,Sí,No,No,12,5,4,1,4
Mujer,Española,Entre 45 y 54 años,Sin estudios,Altabix,Trabajador por cuenta ajena,Administración pública,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ha aumentado,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Nada,No,No,No,No,No,Sí,No,No,8,9,5,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,18,6,1,3,5
Mujer,Española,Entre 18 y 24 años,Título Universitario,Altabix,En paro,Nunca ha trabajado,Nunca he cotizado,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Menos,Ni ha disminuido ni ha aumentado,No,Empresario,Sí,Sí,Sí,No,No,Sí,Ns/Nc,Sí,No,No,Sí,No,Sí,No,Sí,2,0,5,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,15,4,3,3,5
Mujer,Española,Entre 18 y 24 años,Formación Profesional,Carrús,En paro,Administración pública,Menos de 10 años cotizados,En general responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,5,4,6,De acuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,17,6,6,2,5
Hombre,Española,Entre 45 y 54 años,Educación secundaria,El Pla,Otro,Calzado,Entre 10 y 20 años cotizados,En general responsables,Muy poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Poca,Poca,Ninguna,Ninguna,Moderada o mucha,Moderada o mucha,Más,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Nunca trabajaria en negro,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,10,10,10,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,11,6,7,3,5
